Layer,Name,Area,Length,Contents,Count,Block Unit,Color,Linetype,Closed,Area_m2
MB-ELEV 4,Line,,3.0165,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1834,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4020,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.1379,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.6497,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,5.5275,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.3556,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0312,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.0009,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.4628,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.7239,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.0497,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.2356,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0726,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0145,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1580,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.5950,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,7.4483,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6155,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.5096,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.7193,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.7705,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3026,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3948,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.6998,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.6220,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.2183,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3696,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4900,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0434,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.5802,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3903,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.2294,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.3004,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8495,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4935,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.5183,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.3519,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.8117,,1,,ByLayer,ByLayer,,
